uniqueID,drugName,condition,review,rating,date,usefulCount,review_length,word_count
1780,Topiramate,Migraine,Some improvement but still dealing with symptoms. I was prescribed Topiramate for migraine.,4,"August 24, 2020",8,91,13
4901,Pantoprazole,GERD,Results are hit or miss. Some days are better than others. I was prescribed Pantoprazole for gerd.,5,"July 13, 2016",150,98,17
2575,Quetiapine,Bipolar Disorder,Changed my life for the better. Finally feel normal again. I was prescribed Quetiapine for bipolar disorder.,10,"December 04, 2021",103,108,17
3399,Insulin Glargine,Diabetes Type 2,Works well with minimal side effects. I was prescribed Insulin Glargine for diabetes type 2.,10,"April 22, 2017",51,92,15
3976,Ritalin,ADHD,It works okay but nothing spectacular. I was prescribed Ritalin for adhd.,6,"May 22, 2022",43,73,12
3771,Valproate,Bipolar Disorder,Great results overall. I was prescribed Valproate for bipolar disorder.,8,"January 18, 2016",87,71,10
167,Ritalin,ADHD,My doctor recommended this and it really helped. I was prescribed Ritalin for adhd.,8,"July 06, 2015",13,83,14
1752,Lisinopril,High Blood Pressure,Been taking for months with consistent positive results. I was prescribed Lisinopril for high blood pressure.,7,"April 22, 2016",3,109,16
1480,Amoxicillin,Pneumonia,Been on this for a while. Seems to help somewhat. I was prescribed Amoxicillin for pneumonia.,4,"March 14, 2021",58,93,16
1025,Doxycycline,Pneumonia,Side effects were mild and temporary. The benefits far outweigh them. I was prescribed Doxycycline for pneumonia.,10,"November 29, 2016",56,113,17
1789,Montelukast,Allergies,Been on this for a while. Seems to help somewhat. I was prescribed Montelukast for allergies.,6,"August 03, 2020",187,93,16
2265,Pantoprazole,GERD,Highly recommend to anyone dealing with this condition. I was prescribed Pantoprazole for gerd.,7,"April 20, 2016",0,95,14
2474,Omeprazole,GERD,Initially helped but stopped working after a month. I was prescribed Omeprazole for gerd.,2,"April 28, 2018",182,89,14
1823,Valproate,Bipolar Disorder,Average medication. Does what it is supposed to do. I was prescribed Valproate for bipolar disorder.,5,"July 21, 2021",127,100,16
1221,Montelukast,Allergies,My doctor took me off this due to adverse reactions. I was prescribed Montelukast for allergies.,3,"April 04, 2015",84,96,16
1667,Rizatriptan,Migraine,Terrible side effects made me stop taking it. I was prescribed Rizatriptan for migraine.,3,"March 28, 2022",155,88,14
2961,Loratadine,Allergies,Made my condition worse. Would not recommend. I was prescribed Loratadine for allergies.,3,"August 23, 2016",155,88,13
153,Benzoyl Peroxide,Acne,Some improvement but still dealing with symptoms. I was prescribed Benzoyl Peroxide for acne.,4,"December 24, 2018",66,93,14
2535,Valproate,Bipolar Disorder,No major complaints but no major improvements either. I was prescribed Valproate for bipolar disorder.,4,"August 13, 2018",148,102,15
4689,Lithium,Bipolar Disorder,Made my condition worse. Would not recommend. I was prescribed Lithium for bipolar disorder.,2,"May 02, 2022",22,92,14
1979,Fexofenadine,Allergies,Been on this for a while. Seems to help somewhat. I was prescribed Fexofenadine for allergies.,4,"April 06, 2015",145,94,16
1470,Humira,Arthritis,Works well with minimal side effects. I was prescribed Humira for arthritis.,7,"August 28, 2018",58,76,12
2808,Levofloxacin,Pneumonia,Terrible side effects made me stop taking it. I was prescribed Levofloxacin for pneumonia.,3,"April 05, 2022",70,90,14
2513,Saxenda,Obesity,Works well with minimal side effects. I was prescribed Saxenda for obesity.,7,"January 10, 2018",175,75,12
2944,Sertraline,Depression,No major complaints but no major improvements either. I was prescribed Sertraline for depression.,5,"May 13, 2015",174,97,14
2981,Ortho Tri-Cyclen,Birth Control,Some improvement but still dealing with symptoms. I was prescribed Ortho Tri-Cyclen for birth control.,6,"July 26, 2021",194,102,15
4823,Metoprolol,High Blood Pressure,Initially helped but stopped working after a month. I was prescribed Metoprolol for high blood pressure.,3,"September 10, 2022",174,104,16
3018,Escitalopram,Depression,Caused severe headaches and nausea. I was prescribed Escitalopram for depression.,1,"September 13, 2016",38,81,11
1567,Humira,Arthritis,It works okay but nothing spectacular. I was prescribed Humira for arthritis.,6,"June 11, 2017",39,77,12
32,Loratadine,Allergies,I noticed improvement within the first week. I was prescribed Loratadine for allergies.,10,"March 12, 2019",195,87,13
938,Loratadine,Allergies,Highly recommend to anyone dealing with this condition. I was prescribed Loratadine for allergies.,7,"May 13, 2015",91,98,14
1216,Losartan,High Blood Pressure,I noticed improvement within the first week. I was prescribed Losartan for high blood pressure.,9,"December 03, 2018",157,95,15
1938,Isotretinoin,Acne,Highly recommend to anyone dealing with this condition. I was prescribed Isotretinoin for acne.,7,"October 04, 2017",45,95,14
1130,Budesonide,Asthma,Some improvement but still dealing with symptoms. I was prescribed Budesonide for asthma.,6,"December 13, 2017",20,89,13
310,Contrave,Obesity,It works okay but nothing spectacular. I was prescribed Contrave for obesity.,5,"June 15, 2019",189,77,12
4902,Levofloxacin,Pneumonia,Caused severe headaches and nausea. I was prescribed Levofloxacin for pneumonia.,3,"January 20, 2022",110,80,11
2169,Gabapentin,Pain,Results are hit or miss. Some days are better than others. I was prescribed Gabapentin for pain.,5,"November 01, 2015",140,96,17
3114,Famotidine,GERD,Initially helped but stopped working after a month. I was prescribed Famotidine for gerd.,2,"May 26, 2016",138,89,14
496,Strattera,ADHD,Highly recommend to anyone dealing with this condition. I was prescribed Strattera for adhd.,7,"June 13, 2022",55,92,14
206,Alprazolam,Anxiety,My doctor took me off this due to adverse reactions. I was prescribed Alprazolam for anxiety.,3,"January 14, 2023",74,93,16
2674,Adderall,ADHD,Average medication. Does what it is supposed to do. I was prescribed Adderall for adhd.,4,"April 30, 2022",123,87,15
3358,Pantoprazole,GERD,Terrible side effects made me stop taking it. I was prescribed Pantoprazole for gerd.,1,"September 02, 2018",91,85,14
3831,Orlistat,Obesity,Some improvement but still dealing with symptoms. I was prescribed Orlistat for obesity.,5,"September 22, 2015",15,88,13
306,Amlodipine,High Blood Pressure,Average medication. Does what it is supposed to do. I was prescribed Amlodipine for high blood pressure.,6,"May 15, 2017",196,104,17
3794,Amoxicillin,Pneumonia,No major complaints but no major improvements either. I was prescribed Amoxicillin for pneumonia.,5,"March 24, 2015",50,97,14
2202,Gabapentin,Pain,Average medication. Does what it is supposed to do. I was prescribed Gabapentin for pain.,5,"July 28, 2015",108,89,15
1062,Vyvanse,ADHD,The drowsiness was unbearable. Could not function normally. I was prescribed Vyvanse for adhd.,1,"February 06, 2018",57,94,14
844,Glipizide,Diabetes Type 2,Average medication. Does what it is supposed to do. I was prescribed Glipizide for diabetes type 2.,6,"February 23, 2023",182,99,17
3873,Ibuprofen,Pain,Did not work for me at all. Waste of money. I was prescribed Ibuprofen for pain.,3,"June 28, 2018",154,80,16
2252,Levothyroxine,Hypothyroidism,Been taking for months with consistent positive results. I was prescribed Levothyroxine for hypothyroidism.,9,"October 05, 2015",123,107,14
212,Trimethoprim,UTI,Side effects were mild and temporary. The benefits far outweigh them. I was prescribed Trimethoprim for uti.,8,"January 15, 2021",123,108,17
3998,Saxenda,Obesity,No major complaints but no major improvements either. I was prescribed Saxenda for obesity.,5,"September 22, 2016",33,91,14
680,Ranitidine,GERD,This medication has been a lifesaver. I was prescribed Ranitidine for gerd.,9,"May 20, 2022",77,75,12
566,Doxycycline,Acne,Been on this for a while. Seems to help somewhat. I was prescribed Doxycycline for acne.,4,"May 13, 2019",173,88,16
3291,Rosuvastatin,High Cholesterol,Very effective treatment. I was prescribed Rosuvastatin for high cholesterol.,9,"November 01, 2017",49,77,10
4355,Valproate,Bipolar Disorder,I noticed improvement within the first week. I was prescribed Valproate for bipolar disorder.,7,"January 26, 2019",116,93,14
681,Ortho Tri-Cyclen,Birth Control,Been taking for months with consistent positive results. I was prescribed Ortho Tri-Cyclen for birth control.,7,"April 25, 2018",165,109,16
181,Doxycycline,Pneumonia,My doctor recommended this and it really helped. I was prescribed Doxycycline for pneumonia.,7,"May 14, 2015",59,92,14
4280,Ritalin,ADHD,Some improvement but still dealing with symptoms. I was prescribed Ritalin for adhd.,6,"November 21, 2015",44,84,13
2496,Venlafaxine,Depression,Works well with minimal side effects. I was prescribed Venlafaxine for depression.,8,"February 02, 2018",57,82,12
2317,Bupropion,Depression,Changed my life for the better. Finally feel normal again. I was prescribed Bupropion for depression.,8,"October 09, 2016",7,101,16
4274,Methotrexate,Arthritis,Caused severe headaches and nausea. I was prescribed Methotrexate for arthritis.,3,"April 24, 2015",26,80,11
279,Buspirone,Anxiety,No major complaints but no major improvements either. I was prescribed Buspirone for anxiety.,6,"April 20, 2022",196,93,14
3684,Amlodipine,High Blood Pressure,Works well with minimal side effects. I was prescribed Amlodipine for high blood pressure.,9,"January 11, 2018",45,90,14
4763,Escitalopram,Depression,My doctor recommended this and it really helped. I was prescribed Escitalopram for depression.,7,"September 25, 2020",169,94,14
433,Bupropion,Depression,Been on this for a while. Seems to help somewhat. I was prescribed Bupropion for depression.,5,"February 16, 2020",61,92,16
290,Vyvanse,ADHD,It works okay but nothing spectacular. I was prescribed Vyvanse for adhd.,4,"February 15, 2018",146,73,12
1028,Prednisone,Arthritis,Been on this for a while. Seems to help somewhat. I was prescribed Prednisone for arthritis.,6,"August 16, 2021",17,92,16
536,Mirena,Birth Control,Some improvement but still dealing with symptoms. I was prescribed Mirena for birth control.,6,"March 11, 2021",82,92,14
3632,Acetaminophen,Pain,Average medication. Does what it is supposed to do. I was prescribed Acetaminophen for pain.,4,"August 12, 2022",175,92,15
189,Levothyroxine,Hypothyroidism,Gained significant weight while on this medication. I was prescribed Levothyroxine for hypothyroidism.,3,"June 13, 2015",110,102,13
2175,Ezetimibe,High Cholesterol,Terrible side effects made me stop taking it. I was prescribed Ezetimibe for high cholesterol.,3,"October 08, 2021",63,94,15
3916,Levofloxacin,Pneumonia,No major complaints but no major improvements either. I was prescribed Levofloxacin for pneumonia.,5,"September 26, 2017",133,98,14
1863,Lithium,Bipolar Disorder,Great results overall. I was prescribed Lithium for bipolar disorder.,7,"March 22, 2021",166,69,10
271,Sumatriptan,Migraine,Side effects were mild and temporary. The benefits far outweigh them. I was prescribed Sumatriptan for migraine.,9,"August 25, 2020",56,112,17
1729,Montelukast,Asthma,Some improvement but still dealing with symptoms. I was prescribed Montelukast for asthma.,6,"September 10, 2017",197,90,13
4076,Mirena,Birth Control,Some improvement but still dealing with symptoms. I was prescribed Mirena for birth control.,6,"February 17, 2016",187,92,14
2158,Doxycycline,Acne,It works okay but nothing spectacular. I was prescribed Doxycycline for acne.,5,"March 22, 2021",114,77,12
3932,Diazepam,Anxiety,Highly recommend to anyone dealing with this condition. I was prescribed Diazepam for anxiety.,9,"April 07, 2017",19,94,14
112,Ibuprofen,Pain,It works okay but nothing spectacular. I was prescribed Ibuprofen for pain.,5,"October 08, 2019",56,75,12
2385,Mirena,Birth Control,No major complaints but no major improvements either. I was prescribed Mirena for birth control.,6,"February 14, 2021",198,96,15
221,Trazodone,Insomnia,Changed my life for the better. Finally feel normal again. I was prescribed Trazodone for insomnia.,10,"October 08, 2022",101,99,16
628,Saxenda,Obesity,Results are hit or miss. Some days are better than others. I was prescribed Saxenda for obesity.,5,"September 08, 2021",35,96,17
1182,Lamotrigine,Bipolar Disorder,Highly recommend to anyone dealing with this condition. I was prescribed Lamotrigine for bipolar disorder.,9,"April 05, 2021",106,106,15
3382,Fluticasone,Asthma,Highly recommend to anyone dealing with this condition. I was prescribed Fluticasone for asthma.,8,"January 02, 2016",53,96,14
2423,Ezetimibe,High Cholesterol,Average medication. Does what it is supposed to do. I was prescribed Ezetimibe for high cholesterol.,5,"February 08, 2022",115,100,16
791,Hydroxyzine,Anxiety,Been taking for months with consistent positive results. I was prescribed Hydroxyzine for anxiety.,7,"April 12, 2020",125,98,14
4276,Escitalopram,Depression,Been on this for a while. Seems to help somewhat. I was prescribed Escitalopram for depression.,5,"October 25, 2017",136,95,16
462,Fexofenadine,Allergies,No major complaints but no major improvements either. I was prescribed Fexofenadine for allergies.,6,"April 29, 2017",176,98,14
4403,Orlistat,Obesity,The drowsiness was unbearable. Could not function normally. I was prescribed Orlistat for obesity.,3,"September 12, 2016",107,98,14
552,Metoprolol,High Blood Pressure,It works okay but nothing spectacular. I was prescribed Metoprolol for high blood pressure.,5,"March 10, 2015",135,91,14
3130,Januvia,Diabetes Type 2,No major complaints but no major improvements either. I was prescribed Januvia for diabetes type 2.,4,"December 09, 2019",117,99,16
1445,Amoxicillin,Pneumonia,It works okay but nothing spectacular. I was prescribed Amoxicillin for pneumonia.,6,"April 10, 2017",109,82,12
199,Metoprolol,High Blood Pressure,Results are hit or miss. Some days are better than others. I was prescribed Metoprolol for high blood pressure.,6,"August 11, 2015",48,111,19
2590,Ciprofloxacin,UTI,Average medication. Does what it is supposed to do. I was prescribed Ciprofloxacin for uti.,5,"December 08, 2021",143,91,15
403,Meloxicam,Arthritis,No major complaints but no major improvements either. I was prescribed Meloxicam for arthritis.,6,"September 23, 2015",140,95,14
3960,Cetirizine,Allergies,Some improvement but still dealing with symptoms. I was prescribed Cetirizine for allergies.,6,"January 25, 2020",52,92,13
4190,Losartan,High Blood Pressure,It works okay but nothing spectacular. I was prescribed Losartan for high blood pressure.,5,"February 13, 2021",21,89,14
4764,Hydroxyzine,Anxiety,Been on this for a while. Seems to help somewhat. I was prescribed Hydroxyzine for anxiety.,6,"September 21, 2016",111,91,16
2096,Budesonide,Asthma,Been on this for a while. Seems to help somewhat. I was prescribed Budesonide for asthma.,5,"August 23, 2015",91,89,16
2901,Trazodone,Insomnia,Been on this for a while. Seems to help somewhat. I was prescribed Trazodone for insomnia.,5,"October 06, 2020",138,90,16
4463,Valproate,Bipolar Disorder,Very effective treatment. I was prescribed Valproate for bipolar disorder.,8,"May 05, 2021",47,74,10
651,Trimethoprim,UTI,Changed my life for the better. Finally feel normal again. I was prescribed Trimethoprim for uti.,10,"February 03, 2022",68,97,16
709,Buspirone,Anxiety,Made my condition worse. Would not recommend. I was prescribed Buspirone for anxiety.,1,"July 03, 2017",132,85,13
1481,Bupropion,Depression,Highly recommend to anyone dealing with this condition. I was prescribed Bupropion for depression.,7,"June 26, 2020",55,98,14
4415,Methotrexate,Arthritis,It works okay but nothing spectacular. I was prescribed Methotrexate for arthritis.,6,"July 13, 2020",161,83,12
3066,Rizatriptan,Migraine,Been on this for a while. Seems to help somewhat. I was prescribed Rizatriptan for migraine.,6,"August 08, 2018",7,92,16
2396,Azithromycin,Pneumonia,My doctor took me off this due to adverse reactions. I was prescribed Azithromycin for pneumonia.,2,"August 23, 2020",148,97,16
1770,Propranolol,Migraine,Been taking for months with consistent positive results. I was prescribed Propranolol for migraine.,7,"March 27, 2015",41,99,14
315,Sumatriptan,Migraine,Been taking for months with consistent positive results. I was prescribed Sumatriptan for migraine.,9,"March 09, 2016",62,99,14
3762,Amoxicillin,Pneumonia,Some improvement but still dealing with symptoms. I was prescribed Amoxicillin for pneumonia.,5,"August 23, 2018",11,93,13
4910,Contrave,Obesity,Gained significant weight while on this medication. I was prescribed Contrave for obesity.,3,"July 07, 2022",157,90,13
114,Diazepam,Anxiety,I noticed improvement within the first week. I was prescribed Diazepam for anxiety.,10,"March 18, 2020",170,83,13
961,Cetirizine,Allergies,Highly recommend to anyone dealing with this condition. I was prescribed Cetirizine for allergies.,7,"March 16, 2019",131,98,14
2911,Levofloxacin,Pneumonia,Been on this for a while. Seems to help somewhat. I was prescribed Levofloxacin for pneumonia.,4,"May 13, 2019",121,94,16
3406,Benzoyl Peroxide,Acne,My doctor took me off this due to adverse reactions. I was prescribed Benzoyl Peroxide for acne.,1,"April 16, 2021",152,96,17
1624,Simvastatin,High Cholesterol,Average medication. Does what it is supposed to do. I was prescribed Simvastatin for high cholesterol.,4,"August 15, 2019",89,102,16
3323,Tretinoin,Acne,Terrible side effects made me stop taking it. I was prescribed Tretinoin for acne.,2,"September 15, 2015",126,82,14
5000,Yaz,Birth Control,My doctor took me off this due to adverse reactions. I was prescribed Yaz for birth control.,3,"February 19, 2015",38,92,17
1819,NuvaRing,Birth Control,Results are hit or miss. Some days are better than others. I was prescribed NuvaRing for birth control.,5,"February 06, 2016",37,103,18
3195,Topiramate,Migraine,Gained significant weight while on this medication. I was prescribed Topiramate for migraine.,2,"October 24, 2020",42,93,13
3008,Ortho Tri-Cyclen,Birth Control,Initially helped but stopped working after a month. I was prescribed Ortho Tri-Cyclen for birth control.,2,"April 22, 2018",95,104,16
3415,Metoprolol,High Blood Pressure,Some improvement but still dealing with symptoms. I was prescribed Metoprolol for high blood pressure.,4,"February 28, 2015",28,102,15
4529,Montelukast,Allergies,Some improvement but still dealing with symptoms. I was prescribed Montelukast for allergies.,5,"February 06, 2019",170,93,13
1898,Glipizide,Diabetes Type 2,This medication has been a lifesaver. I was prescribed Glipizide for diabetes type 2.,9,"February 12, 2018",107,85,14
1919,Doxycycline,Pneumonia,Some improvement but still dealing with symptoms. I was prescribed Doxycycline for pneumonia.,5,"September 22, 2017",35,93,13
1271,Fluticasone,Asthma,Been taking for months with consistent positive results. I was prescribed Fluticasone for asthma.,8,"March 04, 2021",97,97,14
4177,Trimethoprim,UTI,No major complaints but no major improvements either. I was prescribed Trimethoprim for uti.,5,"September 24, 2015",50,92,14
4963,Mirena,Birth Control,Some improvement but still dealing with symptoms. I was prescribed Mirena for birth control.,5,"September 16, 2020",26,92,14
4884,Trazodone,Insomnia,Changed my life for the better. Finally feel normal again. I was prescribed Trazodone for insomnia.,7,"April 12, 2017",9,99,16
4095,Saxenda,Obesity,Very effective treatment. I was prescribed Saxenda for obesity.,9,"September 01, 2022",53,63,9
3160,Fluoxetine,Depression,Average medication. Does what it is supposed to do. I was prescribed Fluoxetine for depression.,6,"November 17, 2022",63,95,15
1814,Diazepam,Anxiety,My doctor recommended this and it really helped. I was prescribed Diazepam for anxiety.,8,"June 02, 2021",188,87,14
2427,Ambien,Insomnia,Great results overall. I was prescribed Ambien for insomnia.,7,"October 18, 2021",7,60,9
3951,Bupropion,Depression,This medication has been a lifesaver. I was prescribed Bupropion for depression.,7,"April 19, 2017",42,80,12
4429,Methotrexate,Arthritis,Results are hit or miss. Some days are better than others. I was prescribed Methotrexate for arthritis.,6,"March 03, 2018",11,103,17
2143,Tretinoin,Acne,It works okay but nothing spectacular. I was prescribed Tretinoin for acne.,6,"October 12, 2020",166,75,12
1627,Humira,Arthritis,It works okay but nothing spectacular. I was prescribed Humira for arthritis.,4,"January 14, 2021",83,77,12
790,Ortho Tri-Cyclen,Birth Control,Initially helped but stopped working after a month. I was prescribed Ortho Tri-Cyclen for birth control.,1,"December 02, 2015",121,104,16
3787,Sumatriptan,Migraine,Been on this for a while. Seems to help somewhat. I was prescribed Sumatriptan for migraine.,6,"December 18, 2016",175,92,16
1865,Venlafaxine,Depression,Great results overall. I was prescribed Venlafaxine for depression.,9,"August 06, 2016",95,67,9
2866,Ezetimibe,High Cholesterol,Been on this for a while. Seems to help somewhat. I was prescribed Ezetimibe for high cholesterol.,5,"October 21, 2015",88,98,17
872,Insulin Glargine,Diabetes Type 2,No major complaints but no major improvements either. I was prescribed Insulin Glargine for diabetes type 2.,4,"November 13, 2017",197,108,17
3272,Pantoprazole,GERD,My doctor took me off this due to adverse reactions. I was prescribed Pantoprazole for gerd.,3,"July 19, 2018",156,92,16
3834,Losartan,High Blood Pressure,Initially helped but stopped working after a month. I was prescribed Losartan for high blood pressure.,2,"March 21, 2022",45,102,16
74,Trazodone,Insomnia,Changed my life for the better. Finally feel normal again. I was prescribed Trazodone for insomnia.,9,"May 12, 2017",183,99,16
1753,Benzoyl Peroxide,Acne,Results are hit or miss. Some days are better than others. I was prescribed Benzoyl Peroxide for acne.,4,"October 04, 2022",103,102,18
1422,Trimethoprim,UTI,This medication has been a lifesaver. I was prescribed Trimethoprim for uti.,8,"June 04, 2015",170,76,12
4222,Ranitidine,GERD,Highly recommend to anyone dealing with this condition. I was prescribed Ranitidine for gerd.,8,"June 27, 2019",136,93,14
4694,Levofloxacin,Pneumonia,Been taking for months with consistent positive results. I was prescribed Levofloxacin for pneumonia.,7,"May 20, 2019",86,101,14
4370,Trazodone,Insomnia,Average medication. Does what it is supposed to do. I was prescribed Trazodone for insomnia.,6,"June 24, 2016",26,92,15
4576,Amlodipine,High Blood Pressure,Been on this for a while. Seems to help somewhat. I was prescribed Amlodipine for high blood pressure.,5,"February 22, 2023",161,102,18
3810,Escitalopram,Depression,I noticed improvement within the first week. I was prescribed Escitalopram for depression.,8,"February 22, 2022",149,90,13
2245,Topiramate,Migraine,My doctor recommended this and it really helped. I was prescribed Topiramate for migraine.,10,"May 10, 2017",149,90,14
3048,Armour Thyroid,Hypothyroidism,Results are hit or miss. Some days are better than others. I was prescribed Armour Thyroid for hypothyroidism.,5,"July 21, 2015",114,110,18
2446,Methotrexate,Arthritis,No major complaints but no major improvements either. I was prescribed Methotrexate for arthritis.,6,"September 09, 2018",54,98,14
495,Tramadol,Pain,Changed my life for the better. Finally feel normal again. I was prescribed Tramadol for pain.,9,"March 11, 2019",106,94,16
3131,Lithium,Bipolar Disorder,Results are hit or miss. Some days are better than others. I was prescribed Lithium for bipolar disorder.,5,"January 16, 2022",190,105,18
4322,Orlistat,Obesity,Some improvement but still dealing with symptoms. I was prescribed Orlistat for obesity.,5,"May 15, 2021",26,88,13
4398,Adderall,ADHD,Too many side effects. Had to switch medications. I was prescribed Adderall for adhd.,3,"February 19, 2023",198,85,14
1165,Levothyroxine,Hypothyroidism,Highly recommend to anyone dealing with this condition. I was prescribed Levothyroxine for hypothyroidism.,8,"April 02, 2019",187,106,14
3735,Buspirone,Anxiety,Been taking for months with consistent positive results. I was prescribed Buspirone for anxiety.,7,"March 14, 2016",87,96,14
1731,Budesonide,Asthma,Average medication. Does what it is supposed to do. I was prescribed Budesonide for asthma.,5,"April 04, 2022",192,91,15
4813,Budesonide,Asthma,I noticed improvement within the first week. I was prescribed Budesonide for asthma.,7,"November 10, 2021",90,84,13
2403,Lisinopril,High Blood Pressure,Some improvement but still dealing with symptoms. I was prescribed Lisinopril for high blood pressure.,4,"March 14, 2019",132,102,15
3404,Mirena,Birth Control,No major complaints but no major improvements either. I was prescribed Mirena for birth control.,5,"May 11, 2019",184,96,15
619,Albuterol,Asthma,Great results overall. I was prescribed Albuterol for asthma.,7,"April 22, 2017",71,61,9
1698,Prednisone,Arthritis,No major complaints but no major improvements either. I was prescribed Prednisone for arthritis.,4,"May 19, 2017",182,96,14
3594,NuvaRing,Birth Control,Not worth the side effects. Very disappointed. I was prescribed NuvaRing for birth control.,2,"November 10, 2016",2,91,14
1958,Synthroid,Hypothyroidism,Great results overall. I was prescribed Synthroid for hypothyroidism.,10,"July 19, 2021",10,69,9
1222,Ortho Tri-Cyclen,Birth Control,Some improvement but still dealing with symptoms. I was prescribed Ortho Tri-Cyclen for birth control.,6,"February 16, 2021",133,102,15
2074,Budesonide,Asthma,No major complaints but no major improvements either. I was prescribed Budesonide for asthma.,6,"July 28, 2021",20,93,14
3411,Ortho Tri-Cyclen,Birth Control,Results are hit or miss. Some days are better than others. I was prescribed Ortho Tri-Cyclen for birth control.,4,"March 08, 2019",19,111,19
870,Naproxen,Pain,This medication has been a lifesaver. I was prescribed Naproxen for pain.,10,"August 12, 2021",129,73,12
2719,Bupropion,Depression,Been on this for a while. Seems to help somewhat. I was prescribed Bupropion for depression.,4,"November 08, 2021",53,92,16
1043,Doxepin,Insomnia,Changed my life for the better. Finally feel normal again. I was prescribed Doxepin for insomnia.,8,"February 06, 2019",156,97,16
1362,Ezetimibe,High Cholesterol,Very effective treatment. I was prescribed Ezetimibe for high cholesterol.,7,"December 25, 2022",97,74,10
357,Fluoxetine,Depression,Average medication. Does what it is supposed to do. I was prescribed Fluoxetine for depression.,5,"January 15, 2020",131,95,15
