uniqueID	drugName	condition	review	rating	date	usefulCount
73	Buspirone	Anxiety	No major complaints but no major improvements either. I was prescribed Buspirone for anxiety.	5	March 16, 2021	39
74	Trazodone	Insomnia	Changed my life for the better. Finally feel normal again. I was prescribed Trazodone for insomnia.	9	May 12, 2017	183
75	Humira	Arthritis	Initially helped but stopped working after a month. I was prescribed Humira for arthritis.	1	September 01, 2020	125
76	Ambien	Insomnia	Works well with minimal side effects. I was prescribed Ambien for insomnia.	8	February 11, 2022	108
77	Ambien	Insomnia	It works okay but nothing spectacular. I was prescribed Ambien for insomnia.	6	September 28, 2018	197
78	Acetaminophen	Pain	Some improvement but still dealing with symptoms. I was prescribed Acetaminophen for pain.	5	December 15, 2019	141
79	Atorvastatin	High Cholesterol	It works okay but nothing spectacular. I was prescribed Atorvastatin for high cholesterol.	6	November 05, 2015	176
80	Gabapentin	Pain	Terrible side effects made me stop taking it. I was prescribed Gabapentin for pain.	1	February 21, 2019	149
81	Ritalin	ADHD	Results are hit or miss. Some days are better than others. I was prescribed Ritalin for adhd.	5	June 06, 2016	10
82	Fexofenadine	Allergies	It works okay but nothing spectacular. I was prescribed Fexofenadine for allergies.	6	January 05, 2019	53
83	Omeprazole	GERD	Very effective treatment. I was prescribed Omeprazole for gerd.	9	April 12, 2021	104
84	Amoxicillin	Pneumonia	Some improvement but still dealing with symptoms. I was prescribed Amoxicillin for pneumonia.	4	October 27, 2016	45
85	Atorvastatin	High Cholesterol	Made my condition worse. Would not recommend. I was prescribed Atorvastatin for high cholesterol.	3	September 22, 2018	200
86	Rosuvastatin	High Cholesterol	Average medication. Does what it is supposed to do. I was prescribed Rosuvastatin for high cholesterol.	4	October 14, 2016	179
87	Diazepam	Anxiety	This medication has been a lifesaver. I was prescribed Diazepam for anxiety.	8	April 11, 2020	56
88	Mirena	Birth Control	Average medication. Does what it is supposed to do. I was prescribed Mirena for birth control.	6	June 04, 2018	58
89	Omeprazole	GERD	No major complaints but no major improvements either. I was prescribed Omeprazole for gerd.	4	March 02, 2017	102
90	Meloxicam	Arthritis	Works well with minimal side effects. I was prescribed Meloxicam for arthritis.	7	February 17, 2018	89
91	Saxenda	Obesity	No major complaints but no major improvements either. I was prescribed Saxenda for obesity.	6	January 05, 2021	84
92	Lisinopril	High Blood Pressure	My doctor recommended this and it really helped. I was prescribed Lisinopril for high blood pressure.	8	January 01, 2017	148
93	Ambien	Insomnia	It works okay but nothing spectacular. I was prescribed Ambien for insomnia.	4	September 09, 2021	111
94	Rizatriptan	Migraine	Results are hit or miss. Some days are better than others. I was prescribed Rizatriptan for migraine.	5	October 19, 2021	130
95	Diazepam	Anxiety	Been on this for a while. Seems to help somewhat. I was prescribed Diazepam for anxiety.	5	February 17, 2017	65
96	Insulin Glargine	Diabetes Type 2	Terrible side effects made me stop taking it. I was prescribed Insulin Glargine for diabetes type 2.	2	October 30, 2020	137
97	NuvaRing	Birth Control	Results are hit or miss. Some days are better than others. I was prescribed NuvaRing for birth control.	6	October 14, 2015	170
98	Meloxicam	Arthritis	No major complaints but no major improvements either. I was prescribed Meloxicam for arthritis.	6	May 25, 2016	184
99	Fexofenadine	Allergies	No major complaints but no major improvements either. I was prescribed Fexofenadine for allergies.	6	July 31, 2019	83
100	Montelukast	Asthma	Been on this for a while. Seems to help somewhat. I was prescribed Montelukast for asthma.	5	June 05, 2016	49
101	Ezetimibe	High Cholesterol	Made my condition worse. Would not recommend. I was prescribed Ezetimibe for high cholesterol.	2	November 26, 2021	145
102	Montelukast	Allergies	Been on this for a while. Seems to help somewhat. I was prescribed Montelukast for allergies.	4	January 02, 2015	77
103	Loratadine	Allergies	Results are hit or miss. Some days are better than others. I was prescribed Loratadine for allergies.	5	July 03, 2021	155
104	Prednisone	Arthritis	My doctor took me off this due to adverse reactions. I was prescribed Prednisone for arthritis.	3	December 17, 2019	172
105	Mirena	Birth Control	No major complaints but no major improvements either. I was prescribed Mirena for birth control.	5	November 26, 2016	168
106	Escitalopram	Depression	Highly recommend to anyone dealing with this condition. I was prescribed Escitalopram for depression.	7	June 12, 2022	162
107	Levofloxacin	Pneumonia	Works well with minimal side effects. I was prescribed Levofloxacin for pneumonia.	10	August 20, 2017	172
108	Loratadine	Allergies	Some improvement but still dealing with symptoms. I was prescribed Loratadine for allergies.	6	August 26, 2016	6
109	Glipizide	Diabetes Type 2	Results are hit or miss. Some days are better than others. I was prescribed Glipizide for diabetes type 2.	6	November 08, 2021	196
110	Bupropion	Depression	Results are hit or miss. Some days are better than others. I was prescribed Bupropion for depression.	5	January 23, 2022	147
111	Mirena	Birth Control	My doctor took me off this due to adverse reactions. I was prescribed Mirena for birth control.	1	June 25, 2019	62
112	Ibuprofen	Pain	It works okay but nothing spectacular. I was prescribed Ibuprofen for pain.	5	October 08, 2019	56
113	Benzoyl Peroxide	Acne	It works okay but nothing spectacular. I was prescribed Benzoyl Peroxide for acne.	6	April 02, 2021	63
114	Diazepam	Anxiety	I noticed improvement within the first week. I was prescribed Diazepam for anxiety.	10	March 18, 2020	170
115	Contrave	Obesity	Results are hit or miss. Some days are better than others. I was prescribed Contrave for obesity.	5	November 14, 2021	184
116	Saxenda	Obesity	Been on this for a while. Seems to help somewhat. I was prescribed Saxenda for obesity.	6	January 01, 2020	40
117	Amoxicillin	UTI	Average medication. Does what it is supposed to do. I was prescribed Amoxicillin for uti.	5	October 09, 2017	163
118	Doxepin	Insomnia	Too many side effects. Had to switch medications. I was prescribed Doxepin for insomnia.	3	January 29, 2018	112
119	Escitalopram	Depression	Great results overall. I was prescribed Escitalopram for depression.	8	January 17, 2018	85
120	Methotrexate	Arthritis	I noticed improvement within the first week. I was prescribed Methotrexate for arthritis.	7	September 09, 2016	59
121	Fluticasone	Asthma	Great results overall. I was prescribed Fluticasone for asthma.	7	September 21, 2015	106
122	Simvastatin	High Cholesterol	Not worth the side effects. Very disappointed. I was prescribed Simvastatin for high cholesterol.	3	March 23, 2020	106
123	Glipizide	Diabetes Type 2	Been taking for months with consistent positive results. I was prescribed Glipizide for diabetes type 2.	9	May 15, 2019	197
124	Lithium	Bipolar Disorder	Gained significant weight while on this medication. I was prescribed Lithium for bipolar disorder.	2	April 08, 2019	122
125	Losartan	High Blood Pressure	My doctor recommended this and it really helped. I was prescribed Losartan for high blood pressure.	7	May 17, 2019	107
126	Ritalin	ADHD	Side effects were mild and temporary. The benefits far outweigh them. I was prescribed Ritalin for adhd.	10	June 17, 2017	69
127	Ezetimibe	High Cholesterol	Terrible side effects made me stop taking it. I was prescribed Ezetimibe for high cholesterol.	3	May 12, 2019	86
128	Fluticasone	Asthma	Results are hit or miss. Some days are better than others. I was prescribed Fluticasone for asthma.	4	June 06, 2016	159
129	Adderall	ADHD	Results are hit or miss. Some days are better than others. I was prescribed Adderall for adhd.	6	August 21, 2021	144
130	Lisinopril	High Blood Pressure	No major complaints but no major improvements either. I was prescribed Lisinopril for high blood pressure.	4	October 22, 2019	34
131	Armour Thyroid	Hypothyroidism	Terrible side effects made me stop taking it. I was prescribed Armour Thyroid for hypothyroidism.	2	December 01, 2017	97
132	Humira	Arthritis	Results are hit or miss. Some days are better than others. I was prescribed Humira for arthritis.	6	August 31, 2018	86
133	Montelukast	Asthma	Caused severe headaches and nausea. I was prescribed Montelukast for asthma.	3	October 30, 2017	20
134	Nitrofurantoin	UTI	Highly recommend to anyone dealing with this condition. I was prescribed Nitrofurantoin for uti.	7	August 02, 2015	89
135	Omeprazole	GERD	Terrible side effects made me stop taking it. I was prescribed Omeprazole for gerd.	3	May 08, 2015	63
136	Yaz	Birth Control	Changed my life for the better. Finally feel normal again. I was prescribed Yaz for birth control.	9	September 16, 2016	61
137	Tramadol	Pain	No major complaints but no major improvements either. I was prescribed Tramadol for pain.	4	April 13, 2016	144
138	Mirena	Birth Control	No major complaints but no major improvements either. I was prescribed Mirena for birth control.	5	November 15, 2017	196
139	Topiramate	Migraine	Changed my life for the better. Finally feel normal again. I was prescribed Topiramate for migraine.	8	October 23, 2021	191
140	Alprazolam	Anxiety	Initially helped but stopped working after a month. I was prescribed Alprazolam for anxiety.	2	March 18, 2016	148
141	Losartan	High Blood Pressure	Been on this for a while. Seems to help somewhat. I was prescribed Losartan for high blood pressure.	6	August 06, 2022	96
142	Fluticasone	Asthma	Works well with minimal side effects. I was prescribed Fluticasone for asthma.	9	August 22, 2021	176
143	Omeprazole	GERD	Initially helped but stopped working after a month. I was prescribed Omeprazole for gerd.	1	September 03, 2022	153
144	Buspirone	Anxiety	Average medication. Does what it is supposed to do. I was prescribed Buspirone for anxiety.	6	December 22, 2020	109
145	Sumatriptan	Migraine	Been on this for a while. Seems to help somewhat. I was prescribed Sumatriptan for migraine.	6	April 06, 2022	87
146	Metoprolol	High Blood Pressure	Side effects were mild and temporary. The benefits far outweigh them. I was prescribed Metoprolol for high blood pressure.	7	March 08, 2016	110
147	Propranolol	Migraine	Made my condition worse. Would not recommend. I was prescribed Propranolol for migraine.	2	November 19, 2019	45
148	Contrave	Obesity	Gained significant weight while on this medication. I was prescribed Contrave for obesity.	2	January 13, 2021	198
149	Amoxicillin	UTI	Been taking for months with consistent positive results. I was prescribed Amoxicillin for uti.	7	March 14, 2023	151
150	Trazodone	Insomnia	Some improvement but still dealing with symptoms. I was prescribed Trazodone for insomnia.	6	December 21, 2015	71
151	Armour Thyroid	Hypothyroidism	Results are hit or miss. Some days are better than others. I was prescribed Armour Thyroid for hypothyroidism.	6	May 23, 2021	156
152	Montelukast	Asthma	It works okay but nothing spectacular. I was prescribed Montelukast for asthma.	6	July 17, 2020	83
153	Benzoyl Peroxide	Acne	Some improvement but still dealing with symptoms. I was prescribed Benzoyl Peroxide for acne.	4	December 24, 2018	66
154	Meloxicam	Arthritis	Been on this for a while. Seems to help somewhat. I was prescribed Meloxicam for arthritis.	6	November 12, 2022	70
155	Adderall	ADHD	Been on this for a while. Seems to help somewhat. I was prescribed Adderall for adhd.	6	February 21, 2017	21
156	Famotidine	GERD	Results are hit or miss. Some days are better than others. I was prescribed Famotidine for gerd.	4	March 24, 2021	194
157	Famotidine	GERD	Side effects were mild and temporary. The benefits far outweigh them. I was prescribed Famotidine for gerd.	10	January 10, 2020	4
158	Escitalopram	Depression	Great results overall. I was prescribed Escitalopram for depression.	7	July 15, 2019	177
159	Ranitidine	GERD	Gained significant weight while on this medication. I was prescribed Ranitidine for gerd.	3	February 20, 2019	121
160	Vyvanse	ADHD	Been taking for months with consistent positive results. I was prescribed Vyvanse for adhd.	7	March 04, 2021	84
161	Propranolol	Migraine	Initially helped but stopped working after a month. I was prescribed Propranolol for migraine.	3	June 09, 2018	64
162	Omeprazole	GERD	Great results overall. I was prescribed Omeprazole for gerd.	7	July 16, 2018	30
163	Ritalin	ADHD	Great results overall. I was prescribed Ritalin for adhd.	8	June 05, 2017	189
164	Ciprofloxacin	UTI	Gained significant weight while on this medication. I was prescribed Ciprofloxacin for uti.	3	November 18, 2020	152
165	Cetirizine	Allergies	Great results overall. I was prescribed Cetirizine for allergies.	8	April 28, 2018	58
166	Topiramate	Migraine	My doctor recommended this and it really helped. I was prescribed Topiramate for migraine.	7	February 27, 2015	181
167	Ritalin	ADHD	My doctor recommended this and it really helped. I was prescribed Ritalin for adhd.	8	July 06, 2015	13
168	Vyvanse	ADHD	I noticed improvement within the first week. I was prescribed Vyvanse for adhd.	10	February 25, 2022	192
169	Nitrofurantoin	UTI	It works okay but nothing spectacular. I was prescribed Nitrofurantoin for uti.	5	June 09, 2021	72
170	Amoxicillin	UTI	Results are hit or miss. Some days are better than others. I was prescribed Amoxicillin for uti.	4	October 27, 2018	47
171	Januvia	Diabetes Type 2	My doctor took me off this due to adverse reactions. I was prescribed Januvia for diabetes type 2.	3	April 12, 2016	16
172	Budesonide	Asthma	Did not work for me at all. Waste of money. I was prescribed Budesonide for asthma.	3	June 21, 2021	161
173	Glipizide	Diabetes Type 2	Some improvement but still dealing with symptoms. I was prescribed Glipizide for diabetes type 2.	5	April 24, 2021	77
174	Fluoxetine	Depression	It works okay but nothing spectacular. I was prescribed Fluoxetine for depression.	6	April 04, 2021	195
175	Rosuvastatin	High Cholesterol	Been on this for a while. Seems to help somewhat. I was prescribed Rosuvastatin for high cholesterol.	6	April 08, 2019	115
176	Synthroid	Hypothyroidism	Changed my life for the better. Finally feel normal again. I was prescribed Synthroid for hypothyroidism.	8	October 23, 2019	78
177	Lithium	Bipolar Disorder	Been on this for a while. Seems to help somewhat. I was prescribed Lithium for bipolar disorder.	6	February 11, 2016	195
178	Ortho Tri-Cyclen	Birth Control	My doctor recommended this and it really helped. I was prescribed Ortho Tri-Cyclen for birth control.	9	May 29, 2022	20
179	Doxycycline	Acne	Some improvement but still dealing with symptoms. I was prescribed Doxycycline for acne.	5	March 10, 2021	19
180	Tretinoin	Acne	Been taking for months with consistent positive results. I was prescribed Tretinoin for acne.	10	January 20, 2020	176
181	Doxycycline	Pneumonia	My doctor recommended this and it really helped. I was prescribed Doxycycline for pneumonia.	7	May 14, 2015	59
182	Fexofenadine	Allergies	My doctor took me off this due to adverse reactions. I was prescribed Fexofenadine for allergies.	3	October 19, 2015	175
183	Ranitidine	GERD	Gained significant weight while on this medication. I was prescribed Ranitidine for gerd.	3	June 01, 2022	50
184	Atorvastatin	High Cholesterol	Highly recommend to anyone dealing with this condition. I was prescribed Atorvastatin for high cholesterol.	7	July 09, 2017	165
185	Acetaminophen	Pain	Some improvement but still dealing with symptoms. I was prescribed Acetaminophen for pain.	5	October 20, 2015	15
186	Isotretinoin	Acne	Changed my life for the better. Finally feel normal again. I was prescribed Isotretinoin for acne.	7	May 20, 2021	73
187	Levothyroxine	Hypothyroidism	Side effects were mild and temporary. The benefits far outweigh them. I was prescribed Levothyroxine for hypothyroidism.	7	September 21, 2022	77
188	Montelukast	Asthma	Been on this for a while. Seems to help somewhat. I was prescribed Montelukast for asthma.	5	January 20, 2021	126
189	Levothyroxine	Hypothyroidism	Gained significant weight while on this medication. I was prescribed Levothyroxine for hypothyroidism.	3	June 13, 2015	110
190	Meloxicam	Arthritis	Terrible side effects made me stop taking it. I was prescribed Meloxicam for arthritis.	2	January 10, 2016	58
191	Lithium	Bipolar Disorder	No major complaints but no major improvements either. I was prescribed Lithium for bipolar disorder.	4	January 08, 2018	147
192	Glipizide	Diabetes Type 2	Side effects were mild and temporary. The benefits far outweigh them. I was prescribed Glipizide for diabetes type 2.	8	October 26, 2020	166
193	Synthroid	Hypothyroidism	Some improvement but still dealing with symptoms. I was prescribed Synthroid for hypothyroidism.	6	July 25, 2021	111
194	Nitrofurantoin	UTI	My doctor took me off this due to adverse reactions. I was prescribed Nitrofurantoin for uti.	2	November 26, 2018	104
195	Meloxicam	Arthritis	No major complaints but no major improvements either. I was prescribed Meloxicam for arthritis.	6	March 04, 2016	41
196	Prednisone	Arthritis	No major complaints but no major improvements either. I was prescribed Prednisone for arthritis.	6	July 22, 2020	73
197	Albuterol	Asthma	My doctor took me off this due to adverse reactions. I was prescribed Albuterol for asthma.	3	December 27, 2015	80
198	Trazodone	Insomnia	It works okay but nothing spectacular. I was prescribed Trazodone for insomnia.	6	July 14, 2019	131
199	Metoprolol	High Blood Pressure	Results are hit or miss. Some days are better than others. I was prescribed Metoprolol for high blood pressure.	6	August 11, 2015	48
200	Contrave	Obesity	Gained significant weight while on this medication. I was prescribed Contrave for obesity.	3	August 03, 2020	160
201	Levothyroxine	Hypothyroidism	Some improvement but still dealing with symptoms. I was prescribed Levothyroxine for hypothyroidism.	6	December 29, 2017	140
202	Acetaminophen	Pain	Side effects were mild and temporary. The benefits far outweigh them. I was prescribed Acetaminophen for pain.	7	October 31, 2022	124
203	Buspirone	Anxiety	Changed my life for the better. Finally feel normal again. I was prescribed Buspirone for anxiety.	8	September 07, 2017	181
204	Isotretinoin	Acne	Highly recommend to anyone dealing with this condition. I was prescribed Isotretinoin for acne.	8	February 26, 2015	141
205	Atorvastatin	High Cholesterol	Too many side effects. Had to switch medications. I was prescribed Atorvastatin for high cholesterol.	2	April 09, 2016	118
206	Alprazolam	Anxiety	My doctor took me off this due to adverse reactions. I was prescribed Alprazolam for anxiety.	3	January 14, 2023	74
207	Contrave	Obesity	Been taking for months with consistent positive results. I was prescribed Contrave for obesity.	7	May 30, 2020	120
208	Famotidine	GERD	Highly recommend to anyone dealing with this condition. I was prescribed Famotidine for gerd.	7	August 15, 2016	98
209	Ortho Tri-Cyclen	Birth Control	Works well with minimal side effects. I was prescribed Ortho Tri-Cyclen for birth control.	7	February 05, 2018	197
210	Simvastatin	High Cholesterol	Highly recommend to anyone dealing with this condition. I was prescribed Simvastatin for high cholesterol.	10	December 30, 2017	0
211	Fexofenadine	Allergies	Changed my life for the better. Finally feel normal again. I was prescribed Fexofenadine for allergies.	7	July 03, 2021	168
212	Trimethoprim	UTI	Side effects were mild and temporary. The benefits far outweigh them. I was prescribed Trimethoprim for uti.	8	January 15, 2021	123
213	Rizatriptan	Migraine	Highly recommend to anyone dealing with this condition. I was prescribed Rizatriptan for migraine.	8	February 03, 2021	96
214	Synthroid	Hypothyroidism	Great results overall. I was prescribed Synthroid for hypothyroidism.	7	October 27, 2022	61
215	Valproate	Bipolar Disorder	Some improvement but still dealing with symptoms. I was prescribed Valproate for bipolar disorder.	5	August 10, 2019	11
216	Prednisone	Arthritis	Been taking for months with consistent positive results. I was prescribed Prednisone for arthritis.	7	May 01, 2019	169
217	Tramadol	Pain	It works okay but nothing spectacular. I was prescribed Tramadol for pain.	4	June 01, 2016	128
218	Quetiapine	Bipolar Disorder	It works okay but nothing spectacular. I was prescribed Quetiapine for bipolar disorder.	5	December 09, 2019	25
219	Saxenda	Obesity	It works okay but nothing spectacular. I was prescribed Saxenda for obesity.	4	February 07, 2023	36
220	Rosuvastatin	High Cholesterol	It works okay but nothing spectacular. I was prescribed Rosuvastatin for high cholesterol.	6	April 07, 2020	200
221	Trazodone	Insomnia	Changed my life for the better. Finally feel normal again. I was prescribed Trazodone for insomnia.	10	October 08, 2022	101
222	Escitalopram	Depression	Not worth the side effects. Very disappointed. I was prescribed Escitalopram for depression.	1	April 06, 2019	81
223	Nitrofurantoin	UTI	Changed my life for the better. Finally feel normal again. I was prescribed Nitrofurantoin for uti.	7	October 08, 2015	60
224	Loratadine	Allergies	Did not work for me at all. Waste of money. I was prescribed Loratadine for allergies.	1	November 13, 2019	25
225	Diazepam	Anxiety	Some improvement but still dealing with symptoms. I was prescribed Diazepam for anxiety.	4	October 13, 2022	76
226	Lisinopril	High Blood Pressure	Very effective treatment. I was prescribed Lisinopril for high blood pressure.	8	August 18, 2015	75
227	Rizatriptan	Migraine	Results are hit or miss. Some days are better than others. I was prescribed Rizatriptan for migraine.	6	August 19, 2016	62
228	Saxenda	Obesity	Gained significant weight while on this medication. I was prescribed Saxenda for obesity.	3	August 24, 2022	46
229	Doxycycline	Acne	It works okay but nothing spectacular. I was prescribed Doxycycline for acne.	4	November 01, 2021	97
230	Amoxicillin	Pneumonia	Side effects were mild and temporary. The benefits far outweigh them. I was prescribed Amoxicillin for pneumonia.	7	July 16, 2021	36
231	Famotidine	GERD	No major complaints but no major improvements either. I was prescribed Famotidine for gerd.	4	November 06, 2017	117
